NameofSatellite	Country	Owner	Users	Purpose	ClassofOrbit	Perigeekm	Apogeekm	Eccentricity	Inclinationdegrees	Radius	Periodminutes	LaunchMass	DateofLaunch	ExpectedLifetime	LaunchSite	LaunchVehicle	major	minor	focus	theta	x	y	cx	cy	r
Aalto-1 	NR (10/17)	"University of Aalto,Finland"	Civil	Technology Development	LEO	497	517	0.00145	97.45	0.0005000	94.700	5.00	23/06/2017	2 yrs.	Satish Dhawan Space Centre	PSLV	507.00000	506.99947	0.73515	0	507	0	0.73515	0	507
AAUSat-4	NR (12/16)	"University of Aalborg,Denmark"	Civil	Earth Observation	LEO	442	687	0.0177	98.2	0.0001000	95.900	1.00	25/04/2016	2 yrs.	Guiana Space Center	Soyuz 2.1a	564.50000	564.41157	9.99165	0	564.5	0	9.99165	0	564.5
"ABS-2 (Koreasat-8, ST-3)"	NR	"Asia Broadcast Satellite Ltd.,Multinational"	Commercial	Communications	GEO	35778	35793	0.000178	0.08	0.6330000	1436.030	6330.00	06/02/2014	15 yrs.	Guiana Space Center	Ariane  5 ECA	35785.50000	35785.49943	6.3698	0	35785.5	0	6.3698	0	35785.5
ABS-2A	NR (12/16)	"Asia Broadcast Satellite Ltd.,Multinational"	Commercial	Communications	GEO	35700	35700	0	0	0.1800000	1436.100	1800.00	15/06/2016	15 yrs.	Cape Canaveral	Falcon 9	35700.00000	35700.00000	0	0	35700	0	0	0	35700
"ABS-3 (Agila 2, Mabuhay 1)"	Philippines	"Asia Broadcast Satellite Ltd.,Multinational"	Commercial	Communications	GEO	35769	35802	0.000391	0.05	0.3775000	1436.070	3775.00	19/08/1997	15 yrs.	Xichang Satellite Launch Center	Long March CZ3B	35785.50000	35785.50000	0	0	35785.5	0	0	0	35785.5
ABS-3A 	NR	"Asia Broadcast Satellite Ltd.,Multinational"	Commercial	Communications	GEO	35788	35803	0.000178	0.1	0.2000000	1436.000	2000.00	02/03/2015	15 yrs.	Cape Canaveral	Falcon 9	35795.50000	35795.49943	6.37159	0	35795.5	0	6.37159	0	35795.5
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)"	NR	"Asia Broadcast Satellite Ltd.,Multinational"	Commercial	Communications	GEO	35780	35793	0.000154	0.01	0.4143000	1436.100	4143.00	13/03/2004	12 yrs.	Cape Canaveral	Atlas 3	35786.50000	35786.49958	5.51114	0	35786.5	0	5.51114	0	35786.5
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)"	NR	"Asia Broadcast Satellite Ltd.,Multinational"	Commercial	Communications	GEO	35777	35794	0.000202	0.01	0.2894000	1436.080	2894.00	26/09/1999	15 yrs.	Baikonur Cosmodrome	Proton	35785.50000	35785.49927	7.22869	0	35785.5	0	7.22869	0	35785.5
"ABS-7 (Koreasat 3, Mugungwha 3)"	South Korea	"Asia Broadcast Satellite Ltd.,Multinational"	Commercial	Communications	GEO	35780	35791	0.00013	0.01	0.3500000	1436.060	3500.00	04/09/1999	15 yrs.	Guiana Space Center	Ariane	35785.50000	35785.49970	4.65213	0	35785.5	0	4.65213	0	35785.5
"Advanced Orion 2 (Mentor, NROL 6, USA 139)"	USA	"National Reconnaissance Office (NRO),USA"	Military	Earth Observation	GEO	35560	36013	0.00537	7.72	0.4500000	1436.140	4500.00	09/05/1998	15 yrs.	Cape Canaveral	Titan IVA	35786.50000	35785.98401	192.1735	0	35786.5	0	192.1735	0	35786.5
"Advanced Orion 3 (Mentor, NROL 19, USA 171)"	USA	"National Reconnaissance Office (NRO),USA"	Military	Earth Observation	GEO	35589	35984	0.00468	3.2	0.4500000	1436.100	4500.00	09/09/2003	15 yrs.	Cape Canaveral	Titan IV	35786.50000	35786.10809	167.48082	0	35786.5	0	167.48082	0	35786.5
"Advanced Orion 4 (Mentor, NRO L-26, USA 202)"	USA	"National Reconnaissance Office (NRO),USA"	Military	Earth Observation	GEO	35714	35937	0.00264	2.89	0.5000000	1438.800	5000.00	18/01/2009	15 yrs.	Cape Canaveral	Delta 4 Heavy	35825.50000	35825.37516	94.57932	0	35825.5	0	94.57932	0	35825.5
